"id_gsn";"monastery_name";"Lon";"Lat";"Standort";"diocese";"order_name";"order_begin_tpq";"order_end_tpq";"alt_label_diocese";"RG_Abkuerzung";"id_order"
3938;"Zisterzienserinnenkloster Georgenberg, Frankenberg";"8.792088";"51.056893";"Frankenberg";"Mainz";"Zisterzienserinnen";1237;1569;"eccl. Magunt.";"o. Cist.";28
3939;"Zisterzienserinnenkloster Marksußra";"10.741242";"51.287697";"Marksußra";"Mainz";"Zisterzienserinnen";1272;1551;"eccl. Magunt.";"o. Cist.";28
3940;"Kloster Blankenheim";"9.7728";"50.93635";"Blankenheim";"Mainz";"Augustinereremitinnen";1190;1529;"eccl. Magunt.";"o. fr. herem. s. Aug.";32
3941;"Magdalenerinnenkloster Freiberg";"13.3505";"50.91739";"Freiberg";"Meißen";"Magdalenerinnen (Reuerinnen)";1243;1540;"eccl. Misnen.";;38
3942;"Prämonstratenserinnenstift Trostadt";"10.641028";"50.465083";"Trostadt";"Würzburg";"Prämonstratenserinnen";1175;1535;"eccl. Herbip.";"o. Prem.";31
3943;"Augustinerchorfrauenstift Andernach";"7.406733";"50.432294";"Andernach";"Trier";"Augustinerchorfrauen";1122;1802;"eccl. Trever.";"o. s. Aug.";25
3944;"Benediktinerinnenkloster Rupertsberg, Bingen";"7.889203";"49.965815";"Bingen";"Mainz";"Benediktinerinnen";1150;1632;"eccl. Magunt.";"o. s. Ben.";33
3945;"Benediktinerinnenkloster Dirstein";"8.0111";"50.3839";"Dirstein";"Trier";"Benediktinerinnen";1126;1564;"eccl. Trever.";"o. s. Ben.";33
3948;"Benediktinerkloster Mettlach";"6.594001";"49.494055";"Mettlach";"Trier";"Benediktiner";695;1803;"eccl. Trever.";"o. s. Ben.";16
3949;"Benediktinerinnenkloster Neumünster";"7.169815";"49.402158";"Neumünster";"Metz";"Benediktinerinnen";1005;1569;"eccl. Meten.";"o. s. Ben.";33
3950;"Benediktinerkloster Schönau, Strüth";"7.894075";"50.140506";"Strüth";"Trier";"Benediktiner-Doppelkloster";1124;1606;"eccl. Trever.";"o. s. Ben.";48
3951;"Benediktinerinnenkloster, später Cölestinerpriorat Schönfeld, Bad Dürkheim";"8.178924";"49.466555";"Schönfeld";"Speyer";"Benediktinerinnen";1247;1478;"eccl. Spiren.";"o. s. Ben.";33
3951;"Benediktinerinnenkloster, später Cölestinerpriorat Schönfeld, Bad Dürkheim";"8.178924";"49.466555";"Schönfeld";"Speyer";"Cölestiner";1478;1498;"eccl. Spiren.";;104
3957;"Prämonstratenserpropstei Petersberg, Gau-Odernheim";"8.204486";"49.794539";"Gau-Odernheim";"Mainz";"Prämonstratenser";1320;1563;"eccl. Magunt.";"o. Prem.";14
3958;"Benediktinerinnenkloster St. Stephan, Zeitz";"12.123693";"51.048918";"Zeitz";"Naumburg";"Benediktinerinnen";1147;1541;"eccl. Nuemburg.";"o. s. Ben.";33
3958;"Benediktinerinnenkloster St. Stephan, Zeitz";"12.129049";"51.050205";"Zeitz (Michaeliskirche)";"Naumburg";"Benediktinerinnen";1147;1541;"eccl. Nuemburg.";"o. s. Ben.";33
3959;"Augustinerchorherrenstift Bergerkloster/Marienstift, Altenburg";"12.437833";"50.98475";"Altenburg";"Naumburg";"Augustinerchorherren";1165;1543;"eccl. Nuemburg.";"o. s. Aug.";1
3961;"Deutschordenskommende Plauen";"12.137699";"50.493054";"Plauen";"Naumburg";"Deutscher Orden";1224;1544;"eccl. Nuemburg.";"theutonicorum";22
3962;"Deutschordenskommende Reichenbach im Vogtland";"12.2900963";"50.6246375";"Reichenbach";"Naumburg";"Deutscher Orden";1269;1534;"eccl. Nuemburg.";"theutonicorum";22
3963;"Deutschordenskommende Schleiz";"11.8099594";"50.5769143";"Schleiz";"Naumburg";"Deutscher Orden";1279;1544;"eccl. Nuemburg.";"theutonicorum";22
3964;"Deutschordenshaus Tanna";"11.8628311";"50.4968314";"Tanna";"Naumburg";"Deutscher Orden";1279;1529;"eccl. Nuemburg.";"theutonicorum";22
3965;"Zisterzienserinnenkloster Petersberg bei Eisenberg";"11.835685";"50.986728";"Petersberg";"Naumburg";"Zisterzienserinnen";1245;1525;"eccl. Nuemburg.";"o. Cist.";28
3967;"Weißfrauen-/Cölestinerinnenkloster (Magdalenerinnen) Aachen";"6.080048";"50.774451";"Aachen";"Lüttich";"Magdalenerinnen (Reuerinnen)";1237;1802;"eccl. Leod.";;38
3969;"Zisterzienserinnenkloster St. Walburga Walberberg, Bornheim";"6.910454";"50.793587";"Walberberg";"Köln";"Zisterzienser";1447;1591;"eccl. Colon.";"o. Cist.";5
3969;"Zisterzienserinnenkloster St. Walburga Walberberg, Bornheim";"6.910454";"50.793587";"Walberberg";"Köln";"Zisterzienserinnen";1197;1447;"eccl. Colon.";"o. Cist.";28
3970;"Johanniterkommende Dinslaken";"6.73716666666667";"51.5568333333333";"Dinslaken";"Köln";"Johanniter";1334;1367;"eccl. Colon.";"s. Johannis Jerus.";12
3971;"Johanniterkommende Velden, Düren";"6.47049";"50.81148";"Velden";"Köln";"Johanniter";1291;1802;"eccl. Colon.";"s. Johannis Jerus.";12
3974;"Franziskanerterziarinnen-Kloster Maria Not, Düsseldorf-Unterrath";"6.790282";"51.274348";"Unterrath";"Köln";"Augustinereremitinnen";1420;1458;"eccl. Colon.";"o. fr. herem. s. Aug.";32
3976;"Franziskanerkloster Kalvarienberg, Emmerich";"6.24133333333333";"51.838";"Emmerich";"Utrecht";"Franziskaner (Minoriten/Konventualen/Observanten/Rekollekten)";1463;1572;"eccl. Traiect.";"o. fr. min.";7
4015;"Zisterzienserinnenkloster Roermond, Niederlande";"5.98869477106335";"51.1934478310387";"Roermond";"Lüttich";"Zisterzienserinnen";1218;1797;"eccl. Leod.";"o. Cist.";28
4017;"Stift Thorn, Niederlande";"5.841944";"51.160556";"Thorn";"Lüttich";"Kanonissen";1101;1797;"eccl. Leod.";"eccl.";35
4018;"Zisterzienserinnenkloster Köslin (Koszalin), Polen";"16.18397";"54.19138";"Köslin";"Kammin";"Zisterzienserinnen";1278;1534;"eccl. Camin.";"o. Cist.";28
4019;"Augustinerchorfrauenstift Brehna";"12.213063";"51.55742";"Brehna";"Magdeburg";"Augustinerchorfrauen";1201;1541;"eccl. Magdeburg.";"o. s. Aug.";25
4020;"Klarissenkloster St. Klara, Strehlen (Strzelin), Polen";"17.072880174411637";"50.77484502595599";"Strehlen";"Breslau";"Klarissen";1295;1540;"eccl. Wratislav.";"o. s. Clare";19
4023;"Augustinerchorfrauenstift Pyritz (Pyrzyce), Polen";"14.900143";"53.140972";"Pyritz";"Kammin";"Augustinerchorfrauen";1230;1574;"eccl. Camin.";"o. s. Aug.";25
4024;"Kollegiatstift Rolduc (bei Kerkrade), Niederlande";"6.08296";"50.86877";"Kerkrade";"Lüttich";"Augustinerchorherren";1104;1796;"eccl. Leod.";"o. s. Aug.";1
4025;"Benediktinerkloster Kremsmünster, Österreich";"14.128969";"48.054498";"Kremsmünster";"Passau";"Benediktiner";777;;"eccl. Patav.";"o. s. Ben.";16
4029;"Augustinereremitinnenkloster Großer Konvent, Kalkar";"6.292312580024445";"51.74042981118147";"Kalkar";"Köln";"Augustinereremitinnen";1414;1578;"eccl. Colon.";"o. fr. herem. s. Aug.";32
4031;"Benediktinerkloster Altenburg, Österreich";"15.593889";"48.644444";"Altenburg";"Passau";"Benediktiner";1144;;"eccl. Patav.";"o. s. Ben.";16
4032;"Benediktinerinnenkloster Erla, Österreich";"14.569417";"48.199139";"Erla";"Passau";"Benediktinerinnen";1025;1583;"eccl. Patav.";"o. s. Ben.";33
4033;"Benediktinerkloster Gleink, Österreich";"14.414722";"48.0675";"Gleink";"Passau";"Benediktiner";1123;1784;"eccl. Patav.";"o. s. Ben.";16
4034;"Benediktinerkloster Gloggnitz, Österreich";"15.928611";"47.673889";"Gloggnitz";"Passau";"Benediktiner";1094;1803;"eccl. Patav.";"o. s. Ben.";16
4035;"Stift Göttweig, Österreich";"15.6125";"48.367778";"Furth bei Göttweig";"Passau";"Augustinerchorherren";1083;1094;"eccl. Patav.";"o. s. Aug.";1
4035;"Stift Göttweig, Österreich";"15.6125";"48.367778";"Furth bei Göttweig";"Passau";"Benediktiner";1094;;"eccl. Patav.";"o. s. Ben.";16
4036;"Benediktinerkloster Klein-Mariazell, Österreich";"15.97417";"48.03647";"Klein-Mariazell";"Passau";"Benediktiner";1131;1782;"eccl. Patav.";"o. s. Ben.";16
4037;"Benediktinerkloster Mondsee, Österreich";"13.350485";"47.856521";"Mondsee";"Passau";"Benediktiner";748;1791;"eccl. Patav.";"o. s. Ben.";16
4039;"Benediktinerinnenkloster Randegg, Österreich";"14.97223646732483";"48.01169414714406";"Randegg";"Passau";"Benediktinerinnen";1296;1316;"eccl. Patav.";"o. s. Ben.";33
4040;"Benediktinerkloster Seitenstetten, Österreich";"14.654167";"48.035";"Seitenstetten";"Passau";"Augustinerchorherren";1109;1111;"eccl. Patav.";"o. s. Aug.";1
4040;"Benediktinerkloster Seitenstetten, Österreich";"14.654167";"48.035";"Seitenstetten";"Passau";"Benediktiner";1112;;"eccl. Patav.";"o. s. Ben.";16
4041;"Benediktinerinnenkloster Traunkirchen, Österreich";"13.791667";"47.845833";"Traunkirchen";"Passau";"Benediktinerinnen";1004;1573;"eccl. Patav.";"o. s. Ben.";33
4043;"Benediktinerkloster St. Ulrich am Pillersee, Österreich";"12.573595";"47.527752";"St. Ulrich am Pillersee";"Chiemsee";"Benediktiner";1151;1810;"eccl. Chiem.";"o. s. Ben.";16
